id,Study ID,Title,Country,City,Indicator,Tool,nature_type,exposure_type_t1,exposure_type,study_design,Season,n_participants,male_percent_mean,gender_group,average_age_mean,age_group,Generation of randomization sequence,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessment,Incomplete outcome data,Selective reporting,Other sources of bias
615,Song 2013,Physiological and psychological effects of walking on young males in urban parks in winter,Japan,Chiba,"Anxiety; Depression; Mood; Other: anger-hostility, vigor, fatigue, confusion",POMS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,13,100,Male > 60%,22.5,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias
794,Wu 2022,An Empirical Study of the Restoration Potential of Urban Deciduous Forest Space to Youth,China,Chengdu,"Anxiety; Depression; Mood; Restorative effects/Restorativeness; Self-esteem; Other: anger-hostility, vitality, fatigue, confusion",POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21.8,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
854,Elsadek 2020,Window view and relaxation: Viewing green space from a high-rise estate improves urban dwellers' wellbeing,China,Shanghai,Emotional wellbeing; Mood,POMS,Greenspace - Park,L3 - view of nature from window,Viewing,Randomised controlled trial - parallel,Summer,30,0,Female > 60%,29.6,Adults,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
909,Pretty 2007,"Green exercise in the UK countryside: Effects on health and psychological well-being, and implications for policy and planning",UK,Scotland,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace; Bluespace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,263,51,Gender Balance,47.8,Adults,Low  risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias
909,Pretty 2007,"Green exercise in the UK countryside: Effects on health and psychological well-being, and implications for policy and planning",UK,Wales,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace; Bluespace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,263,51,Gender Balance,47.8,Adults,Low  risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias
909,Pretty 2007,"Green exercise in the UK countryside: Effects on health and psychological well-being, and implications for policy and planning",UK,Northern Ireland,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace; Bluespace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,263,51,Gender Balance,47.8,Adults,Low  risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias
909,Pretty 2007,"Green exercise in the UK countryside: Effects on health and psychological well-being, and implications for policy and planning",UK,England,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace; Bluespace,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,263,51,Gender Balance,47.8,Adults,Low  risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias
1910,Liu 2021,Physiological and Psychological Effects of Nature Experiences in Different Forests on Young People,China,Beijing,"Mental wellbeing in general*; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: vitality, anger–hostility, fatigue, confusion",POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer,30,NA,NA,25,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,High risk of bias,High risk of bias
1910,Liu 2021,Physiological and Psychological Effects of Nature Experiences in Different Forests on Young People,China,Beijing,"Mental wellbeing in general*; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: vitality, anger–hostility, fatigue, confusion",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer,30,NA,NA,25,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,High risk of bias,High risk of bias
2037,Li 2021,"The Effects of Green and Urban Walking in Different Time Frames on Physio-Psychological Responses of Middle-Aged and Older People in Chengdu, China",China,Chengdu,Emotional wellbeing; Mood; Restorative effects/Restorativeness,POMS,Greenspace,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,48,31.25,Female > 60%,56,Adults,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear,Unclear,High risk of bias
2345,Elsadek 2019,Green facades: Their contribution to stress recovery and well-being in high-density cities,China,Shanghai,"Anxiety; Depression; Emotional wellbeing; Other: anger-hostility, fatigue, confusion, vigor, TMD",POMS,Greenspace - Green roof/wall,L4 - stay static in nature,In nature - Static,Non-randomised experimental study,Winter,25,0,Female > 60%,23,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Chengdu,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Ya'an,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Yibin,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Dujiangyan,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Chengdu,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Ya'an,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Yibin,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2426,Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Dujiangyan,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21,Young adults,Low  risk of bias,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Unclear
2489,Olszewska-Guizzo 2022,Therapeutic Garden With Contemplative Features Induces Desirable Changes in Mood and Brain Activity in Depressed Adults,Singapore,Singapore,Mood,POMS,Greenspace - Garden; Greenspace - Green roof/wall,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring; Summer; Fall,92,37,Female > 60%,36.62,Adults,Low  risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2547,Elsadek 2019,The influence of urban roadside trees and their physical environment on stress relief measures: A field experiment in Shanghai,China,Shanghai,Anxiety; Mood; Restorative effects/Restorativeness; Other: subjective vitality,POMS,Greenspace - Street trees,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring,364,54.95,Gender Balance,23,Young adults,Unclear,Low risk of bias,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2618,Lee 2011,Effect of forest bathing on physiological and psychological responses in young Japanese male subjects,Japan,Hokkaido Prefecture,Mood; Other: subjective feeling,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,12,100,Male > 60%,21.2,Young adults,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
2621,Oomen-Welke 2022,Spending Time in the Forest or the Field: Investigations on Stress Perception and Psychological Well-Being-A Randomized Cross-Over Trial in Highly Sensitive Persons,Germany,Freiburg,"Anxiety; Depression; Emotional wellbeing; Other: Fatigue, Vigor, Hostility, TMD",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,39,10.3,Female > 60%,44.66,Adults,Low  risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
2745,Ibes 2022,The role of campus greenspace and meditation on college students' mood disturbance,United States,"Williamsburg, Virginia",Mood,POMS,Greenspace,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring,234,43,Gender Balance,19.22,Young adults,Unclear,Low risk of bias,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2783,Vert 2020,Physical and mental health effects of repeated short walks in a blue space environment: A randomised crossover study,Spain,Barcelona,"Mental wellbeing in general*; Mental distress; Affect; Anxiety; Depression; Life satisfaction; Other: vitality, Somatisation , Fatigue, Vigour",POMS,Bluespace - Beach/coastline,L4 - physical activity in nature,In nature - PA,RCT - crossover,Spring; Fall,59,30.5,Female > 60%,29,Adults,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
3057,Janeczko 2020,When Urban Environment Is Restorative: The Effect of Walking in Suburbs and Forests on Psychological and Physiological Relaxation of Young Polish Adults,Poland,Warsaw,"Affect; Depression; Mood; Restorative effects/Restorativeness; Other: Vitality, Tension, Anger, Fatigue, Confusion, Vigor",POMS,Greenspace - Forest; Greenspace - Green alley/Roadside green,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,75,NA,NA,21.5,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
3146,McEwan 2022,'This Is What the Colour Green Smells Like!': Urban Forest Bathing Improved Adolescent Nature Connection and Wellbeing,UK,London,Anxiety,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Uncontrolled before-after study,Summer,44,49,Gender Balance,13.05,Adolescents,High risk of bias,High risk of bias,High risk of bias,Unclear,Low risk of bias,Unclear,Unclear
3220,Korcz 2021,Influence of Informal Education in the Forest Stand Redevelopment Area on the Psychological Restoration of Working Adults,Poland,Swidnik,"Affect; Mood; Restorative effects/Restorativeness; Other: vitality, confusion, fatigue, anger, anxiety, vigor",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Non-randomised experimental study,Fall,60,51.7,Gender Balance,25,Young adults,High risk of bias,Unclear,High risk of bias,Unclear,Unclear,Unclear,High risk of bias
3469,Stigsdotter 2017,It is not all bad for the grey city - A crossover study on physiological and psychological restoration in a forest and an urban environment,Denmark,Copenhagen,"Anxiety; Depression; Mood; Restorative effects/Restorativeness; Stress; Other: Anger-Hostility, Vigor, Fatigue, Confusion",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Fall,47,0,Female > 60%,28.5,Adults,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Unclear
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Yoshino,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Akiota,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Kamiichi,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Oita,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Yoshino,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Akiota,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Kamiichi,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Oita,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3496,Gidlow 2016,Where to put your best foot forward: Psycho-physiological responses to walking in natural and urban environments,UK,West Midlands,Cognitive functioning; Mood; Restorative effects/Restorativeness,POMS,Greenspace - Park; Bluespace - Open water,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,38,60,Gender Balance,40.9,Adults,Low  risk of bias,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
3655,Ochiai 2015,Physiological and Psychological Effects of a Forest Therapy Program on Middle-Aged Females,Japan,"Agematsu, Nagano Prefecture","Anxiety; Mood; Other: fatigue, vigor",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Summer,17,100,Male > 60%,62.2,Adults,Unclear,Unclear,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,High risk of bias
3707,Shin 2011,The influence of interaction with forest on cognitive function,South Korea,Cheongju,"Mental distress; Anxiety; Cognitive functioning; Depression; Mood; Other: Anger-hostility, Vigor-activity, Fatigue-inertia, Confusion-bewilderment",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,NA,60,58.3,Gender Balance,23.27,Young adults,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias,High risk of bias,Unclear
3863,Yoshida 2015,"Evaluation of effect of tree canopy on thermal environment, thermal sensation, and mental state",Japan,Osaka Prefecture,"Anxiety; Depression; Other: anger-hostility, vigor, fatigue, confusion",POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Quasi-experimental study,Summer,6,100,Male > 60%,20,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Unclear,Unclear
3869,Pratiwi 2019,Physiological and Psychological Effects of Viewing Urban Parks in Different Seasons in Adults,Japan,Matsudo,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace - Park,L4 - stay static in nature,In nature - Static,RCT - crossover,Spring; Summer,24,50,Gender Balance,66.4,Older adults,Unclear,Low risk of bias,Unclear,High risk of bias,Low risk of bias,Low risk of bias,High risk of bias
3869,Pratiwi 2019,Physiological and Psychological Effects of Viewing Urban Parks in Different Seasons in Adults,Japan,Chiba,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS,Greenspace - Park,L4 - stay static in nature,In nature - Static,RCT - crossover,Spring; Summer,24,50,Gender Balance,66.4,Older adults,Unclear,Low risk of bias,Unclear,High risk of bias,Low risk of bias,Low risk of bias,High risk of bias
3878,Pratiwi 2020,"Physiological and Psychological Effects of Walking in Urban Parks and Its Imagery in Different Seasons in Middle-Aged and Older Adults: Evidence from Matsudo City, Japan",Japan,Matsudo,"Anxiety; Depression; Mood; Other: anger-hostility,  fatigue-inertia,  confusion-bewilderment, vigor-activity",POMS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Summer; Winter,12,33.3,Female > 60%,70.2,Older adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
3927,Deng 2020,"Empirical study of landscape types, landscape elements and landscape components of the urban park promoting physiological and psychological restoration",China,Chengdu,Mood; Restorative effects/Restorativeness,POMS,Greenspace - Forest; Greenspace - Grassland; Bluespace - Open water,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,60,50,Gender Balance,20.8,Young adults,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
4004,Triguero-Mas 2017,The effect of randomised exposure to different types of natural outdoor environments compared to exposure to an urban environment on people with indications of psychological distress in Catalonia,Spain,Barcelona,Mood,POMS,Greenspace - Park; Bluespace - Beach/coastline,L4 - specific visits,Visit,RCT - crossover,Fall; Winter,26,NA,NA,NA,NA,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Unclear,Unclear
5868,Muro 2022,Psychological benefits of Forest Bathing during the COVID-19 pandemic: a pilot study in a Mediterranean forest close to urban areas,Spain,Barcelona,Affect; Anxiety; Mood; Other: State Mindfulness,POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,16,12.5,Female > 60%,47.5,Adults,High risk of bias,High risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
5878,Li 2022,"Effects of forest bathing (shinrin-yoku) on serotonin in serum, depressive symptoms and subjective sleep quality in middle-aged males",Japan,Nagano Prefecture,"Mood; Other: fatigue, vigor",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer,20,100,Male > 60%,57.3,Adults,Low  risk of bias,Unclear,High risk of bias,Unclear,Low risk of bias,Low risk of bias,Low risk of bias
