id,Study ID,Title,Country,City,Indicator,Tool,nature_type,exposure_type_t1,exposure_type,study_design,Season,n_participants,male_percent_mean,gender_group,average_age_mean,age_group,Generation of randomization sequence,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessment,Incomplete outcome data,Selective reporting,Other sources of bias
5959,Yu 2017,Effects of Short Forest Bathing Program on Autonomic Nervous System Activity and Mood States in Middle-Aged and Elderly Individuals,Taiwan,Xitou Nature Education Area,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Non-randomised experimental study,Summer,128,33.6,Female > 60%,60,Adults,High risk of bias,High risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
6274,Bielinis 2018,The effect of winter forest bathing on psychological relaxation of young Polish adults,Poland,Olsztyn,Affect; Mood; Restorative effects/Restorativeness; Other: vitality,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring,62,58,Gender Balance,21.45,Young adults,Unclear,Unclear,High risk of bias,Unclear,Low risk of bias,Unclear,Unclear
6523,Park 2011,Relationship between psychological responses and physical environments in forest settings,Japan,NA,"Mental distress; Anxiety; Depression; Mood; Other: Anger-hostility, Vigor, Confusion, Fatigue",POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring; Summer; Fall; Winter,168,100,Male > 60%,20.4,Young adults,Unclear,Unclear,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
6523,Park 2011,Relationship between psychological responses and physical environments in forest settings,Japan,NA,"Mental distress; Anxiety; Depression; Mood; Other: Anger-hostility, Vigor, Confusion, Fatigue",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Summer; Fall; Winter,168,100,Male > 60%,20.4,Young adults,Unclear,Unclear,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
6599,Ochiai 2015,Physiological and Psychological Effects of Forest Therapy on Middle-Aged Males with High-Normal Blood Pressure,Japan,"Agematsu, Nagano Prefecture","Anxiety; Depression; Mood; Other: confusion, anger-hostility, fatigue, vigor",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Quasi-experimental study,Fall,8,100,Male > 60%,56,Adults,Unclear,Unclear,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
6666,Bielinis 2019,The Effects of a Short Forest Recreation Program on Physiological and Psychological Relaxation in Young Polish Adults,Poland,Olsztyn,"Mental distress; Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: anger/hostility, vigor, fatigue, confusion, vitality",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Spring,21,57,Gender Balance,23.86,Young adults,High risk of bias,High risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
6686,Song 2019,Physiological and Psychological Effects of Viewing Forests on Young Women,Japan,NA,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,RCT - crossover,Summer; Fall,72,0,Female > 60%,21,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
6750,Bielinis 2019,The Effect of Recreation in a Snow-Covered Forest Environment on the Psychological Wellbeing of Young Adults: Randomized Controlled Study,Poland,Olsztyn,Mental distress; Mood; Restorative effects/Restorativeness,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring,32,0,Female > 60%,20.97,Young adults,Unclear,Unclear,Low risk of bias,High risk of bias,Low risk of bias,Unclear,High risk of bias
7049,Takayama 2019,"Relation between Psychological Restorativeness and Lifestyle, Quality of Life, Resilience, and Stress-Coping in Forest Settings",Japan,NA,"Mental distress; Affect; Anxiety; Depression; Restorative effects/Restorativeness; Other: Subjective Vitality, anger-hostility, vigor, fatigue, confusion",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,RCT - crossover,Summer; Fall,46,100,Male > 60%,21.4,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
7199,Song 2018,Psychological Benefits of Walking through Forest Areas,Japan,Kashiwa,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,NA,585,100,Male > 60%,21.7,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
7315,Joung 2015,The Prefrontal Cortex Activity and Psychological Effects of Viewing Forest Landscapes in Autumn Season,South Korea,NA,"Anxiety; Depression; Mood; Other: Anger, hostility, Vigor, Fatigue, Confusion",POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,NA,8,NA,NA,22,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Unclear,High risk of bias
7390,Song 2019,Effects of Walking in a Forest on Young Women,Japan,NA,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,RCT - crossover,NA,60,0,Female > 60%,21,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
7432,Kobayashi 2021,Comparing the impact of forest walking and forest viewing on psychological states,Japan,NA,Mood,POMS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,NA,57,0,Female > 60%,21,Young adults,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
7432,Kobayashi 2021,Comparing the impact of forest walking and forest viewing on psychological states,Japan,NA,Mood,POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,NA,57,0,Female > 60%,21,Young adults,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
7446,Lyu 2019,Benefits of A Three-Day Bamboo Forest Therapy Session on the Psychophysiology and Immune System Responses of Male College Students,China,Chengdu,"Anxiety; Depression; Mood; Other: anger and hostility, fatigue, confusion, vigor, total mood disturbance",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,60,100,Male > 60%,21.7,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Unclear,Unclear
7446,Lyu 2019,Benefits of A Three-Day Bamboo Forest Therapy Session on the Psychophysiology and Immune System Responses of Male College Students,China,Ya'an,"Anxiety; Depression; Mood; Other: anger and hostility, fatigue, confusion, vigor, total mood disturbance",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,60,100,Male > 60%,21.7,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Unclear,Unclear
7446,Lyu 2019,Benefits of A Three-Day Bamboo Forest Therapy Session on the Psychophysiology and Immune System Responses of Male College Students,China,Yibin,"Anxiety; Depression; Mood; Other: anger and hostility, fatigue, confusion, vigor, total mood disturbance",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,60,100,Male > 60%,21.7,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Unclear,Unclear
7446,Lyu 2019,Benefits of A Three-Day Bamboo Forest Therapy Session on the Psychophysiology and Immune System Responses of Male College Students,China,Dujiangyan,"Anxiety; Depression; Mood; Other: anger and hostility, fatigue, confusion, vigor, total mood disturbance",POMS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,60,100,Male > 60%,21.7,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Unclear,Unclear
7534,Igarashi 2015,Physiological and Psychological Effects of Viewing a Kiwifruit (Actinidia deliciosa 'Hayward') Orchard Landscape in Summer in Japan,Japan,Chiba,Mood; Other: subjective perception,POMS,Greenspace - Farmland,L4 - stay static in nature,In nature - Static,RCT - crossover,Summer,17,0,Female > 60%,46.1,Adults,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
876,Chalmin-Pui 2021,"""It made me feel brighter in myself""- The health and well-being impacts of a residential front garden horticultural intervention",UK,Salford,Stress; Other: subjective well-being,PSS,Greenspace - Garden,L5 - nature participatory activities,In nature - PA,Non-randomised experimental study,Spring,42,35.71,Female > 60%,NA,NA,High risk of bias,High risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Unclear
1940,Maund 2019,Wetlands for Wellbeing: Piloting a Nature-Based Health Intervention for the Management of Anxiety and Depression,UK,Gloucestershire,Mental wellbeing in general*; Affect; Anxiety; Stress,PSS,Bluespace - Wetland,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Spring; Summer,16,50,Gender Balance,45,Adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
2332,Payne 2020,The Restorative Effect of the Natural Environment on University Students' Psychological Health,Australia,NA,Life satisfaction; Stress; Other: Burnout,PSS,Greenspace,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,NA,200,18.5,Female > 60%,31.2,Adults,Low  risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,High risk of bias,High risk of bias,High risk of bias
2763,Yeung 2022,Cognitive-Emotional Benefits of Weekly Exposure to Nature: A Taiwanese Study on Young Adults,China,"Taipei, Taiwan",Anxiety; Cognitive functioning; Depression; Stress; Other: rumination,PSS,Greenspace,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Winter,48,52.1,Gender Balance,25.08,Adults,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
3201,Wolf 2017,Young adult conservation jobs and worker health,United States,Washington State,Stress,PSS,Greenspace; Bluespace - Open water,L1 - workspace surrounding,Residential,Uncontrolled before-after study,Fall,289,58,Gender Balance,23,Young adults,High risk of bias,High risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
3201,Wolf 2017,Young adult conservation jobs and worker health,United States,Washington State,Stress,PSS,Greenspace; Bluespace - Open water,L5 - nature participatory activities,In nature - PA,Uncontrolled before-after study,Fall,289,58,Gender Balance,23,Young adults,High risk of bias,High risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
3469,Stigsdotter 2017,It is not all bad for the grey city - A crossover study on physiological and psychological restoration in a forest and an urban environment,Denmark,Copenhagen,"Anxiety; Depression; Mood; Restorative effects/Restorativeness; Stress; Other: Anger-Hostility, Vigor, Fatigue, Confusion",PSS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Fall,47,0,Female > 60%,28.5,Adults,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Unclear
151,Mokhtar 2018,Physiological and Psychological Health Benefits of Urban Green Space in Kuala Lumpur: A comparison between Taman Botani Perdana and Jalan Bukit Bintang,Malaysia,Kuala Lumpur,Affect; Mood; Restorative effects/Restorativeness,ROS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,NA,20,100,Male > 60%,23.1,Young adults,High risk of bias,Unclear,High risk of bias,Unclear,Low risk of bias,High risk of bias,Unclear
472,Raman 2021,The Effects of Different Natural Environment Influences on Health and Psychological Well-Being of People: A Case Study in Selangor,Malaysia,Selangor,Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Stress,ROS,Greenspace - Forest; Greenspace - Park; Greenspace - Green alley/Roadside green,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Winter,80,30,Female > 60%,33.68,Adults,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
512,Kabisch 2021,Physiological and psychological effects of visits to different urban green and street environments in older people: A field experiment in a dense inner-city area,Germany,Leipzig,Mood; Restorative effects/Restorativeness,ROS,Greenspace - Park,L4 - stay static in nature,In nature - Static,RCT - crossover,Summer,33,36.36,Female > 60%,63.5,Adults,Unclear,Low risk of bias,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
512,Kabisch 2021,Physiological and psychological effects of visits to different urban green and street environments in older people: A field experiment in a dense inner-city area,Germany,Leipzig,Mood; Restorative effects/Restorativeness,ROS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,RCT - crossover,Summer,33,36.36,Female > 60%,63.5,Adults,Unclear,Low risk of bias,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
794,Wu 2022,An Empirical Study of the Restoration Potential of Urban Deciduous Forest Space to Youth,China,Chengdu,"Anxiety; Depression; Mood; Restorative effects/Restorativeness; Self-esteem; Other: anger-hostility, vitality, fatigue, confusion",ROS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Fall,120,50,Gender Balance,21.8,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
1910,Liu 2021,Physiological and Psychological Effects of Nature Experiences in Different Forests on Young People,China,Beijing,"Mental wellbeing in general*; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: vitality, anger–hostility, fatigue, confusion",ROS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer,30,NA,NA,25,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,High risk of bias,High risk of bias
1910,Liu 2021,Physiological and Psychological Effects of Nature Experiences in Different Forests on Young People,China,Beijing,"Mental wellbeing in general*; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: vitality, anger–hostility, fatigue, confusion",ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer,30,NA,NA,25,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,High risk of bias,High risk of bias
1951,Tyrvainen 2014,The influence of urban green environments on stress relief measures: A field experiment,Finland,Helsinki,"Mood; Restorative effects/Restorativeness; Other: Vitality, Creativity",ROS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring; Summer; Fall,77,7.8,Female > 60%,47.64,Adults,Unclear,Unclear,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear
1951,Tyrvainen 2014,The influence of urban green environments on stress relief measures: A field experiment,Finland,Helsinki,"Mood; Restorative effects/Restorativeness; Other: Vitality, Creativity",ROS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Summer; Fall,77,7.8,Female > 60%,47.64,Adults,Unclear,Unclear,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear
2037,Li 2021,"The Effects of Green and Urban Walking in Different Time Frames on Physio-Psychological Responses of Middle-Aged and Older People in Chengdu, China",China,Chengdu,Emotional wellbeing; Mood; Restorative effects/Restorativeness,ROS,Greenspace,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,48,31.25,Female > 60%,56,Adults,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear,Unclear,High risk of bias
2547,Elsadek 2019,The influence of urban roadside trees and their physical environment on stress relief measures: A field experiment in Shanghai,China,Shanghai,Anxiety; Mood; Restorative effects/Restorativeness; Other: subjective vitality,ROS,Greenspace - Street trees,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring,364,54.95,Gender Balance,23,Young adults,Unclear,Low risk of bias,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2648,Liu 2021,The Relationship between the Restorative Perception of the Environment and the Physiological and Psychological Effects of Different Types of Forests on University Students,China,Beijing,Mental wellbeing in general*; Restorative effects/Restorativeness; Other: Vitality,ROS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer,30,47,Gender Balance,23.9,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2648,Liu 2021,The Relationship between the Restorative Perception of the Environment and the Physiological and Psychological Effects of Different Types of Forests on University Students,China,Beijing,Mental wellbeing in general*; Restorative effects/Restorativeness; Other: Vitality,ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer,30,47,Gender Balance,23.9,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2815,Ojala 2019,Restorative effects of urban green environments and the role of urban-nature orientedness and noise sensitivity: A field experiment,Finland,NA,Mental distress; Restorative effects/Restorativeness,ROS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring; Summer; Fall,83,0,Female > 60%,48.31,Adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,High risk of bias
2815,Ojala 2019,Restorative effects of urban green environments and the role of urban-nature orientedness and noise sensitivity: A field experiment,Finland,NA,Mental distress; Restorative effects/Restorativeness,ROS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Summer; Fall,83,0,Female > 60%,48.31,Adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,High risk of bias
3057,Janeczko 2020,When Urban Environment Is Restorative: The Effect of Walking in Suburbs and Forests on Psychological and Physiological Relaxation of Young Polish Adults,Poland,Warsaw,"Affect; Depression; Mood; Restorative effects/Restorativeness; Other: Vitality, Tension, Anger, Fatigue, Confusion, Vigor",ROS,Greenspace - Forest; Greenspace - Green alley/Roadside green,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,75,NA,NA,21.5,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
3122,Jones 2021,Psycho-physiological responses of repeated exposure to natural and urban environments,UK,Stoke-on-Trent,Cognitive functioning; Mood; Restorative effects/Restorativeness,ROS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Non-randomised experimental study,Summer; Fall,41,58.5,Gender Balance,NA,NA,High risk of bias,High risk of bias,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Unclear
3220,Korcz 2021,Influence of Informal Education in the Forest Stand Redevelopment Area on the Psychological Restoration of Working Adults,Poland,Swidnik,"Affect; Mood; Restorative effects/Restorativeness; Other: vitality, confusion, fatigue, anger, anxiety, vigor",ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Non-randomised experimental study,Fall,60,51.7,Gender Balance,25,Young adults,High risk of bias,Unclear,High risk of bias,Unclear,Unclear,Unclear,High risk of bias
3323,Menzel 2020,Feeling Stressed and Ugly? Leave the City and Visit Nature! An Experiment on Self- and Other-Perceived Stress and Attractiveness Levels,Germany,"Tübingen, Stuttgart",Affect; Restorative effects/Restorativeness; Stress,ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring,21,100,Male > 60%,23.62,Young adults,Unclear,High risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Yoshino,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,ROS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Akiota,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,ROS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Kamiichi,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,ROS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Oita,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,ROS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
