id,Study ID,Title,Country,City,Indicator,Tool,nature_type,exposure_type_t1,exposure_type,study_design,Season,n_participants,male_percent_mean,gender_group,average_age_mean,age_group,Generation of randomization sequence,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessment,Incomplete outcome data,Selective reporting,Other sources of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Yoshino,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Akiota,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Kamiichi,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Oita,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3496,Gidlow 2016,Where to put your best foot forward: Psycho-physiological responses to walking in natural and urban environments,UK,West Midlands,Cognitive functioning; Mood; Restorative effects/Restorativeness,ROS,Greenspace - Park; Bluespace - Open water,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,38,60,Gender Balance,40.9,Adults,Low  risk of bias,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
3742,Pasanen 2018,"Can Nature Walks With Psychological Tasks Improve Mood, Self-Reported Restoration, and Sustained Attention? Results From Two Experimental Field Studies",Finland,Tampere,Mood; Restorative effects/Restorativeness; Other: Sustained attention,ROS,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,NA,119,13,Female > 60%,40,Adults,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,High risk of bias
6274,Bielinis 2018,The effect of winter forest bathing on psychological relaxation of young Polish adults,Poland,Olsztyn,Affect; Mood; Restorative effects/Restorativeness; Other: vitality,ROS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring,62,58,Gender Balance,21.45,Young adults,Unclear,Unclear,High risk of bias,Unclear,Low risk of bias,Unclear,Unclear
6666,Bielinis 2019,The Effects of a Short Forest Recreation Program on Physiological and Psychological Relaxation in Young Polish Adults,Poland,Olsztyn,"Mental distress; Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: anger/hostility, vigor, fatigue, confusion, vitality",ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Spring,21,57,Gender Balance,23.86,Young adults,High risk of bias,High risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
6750,Bielinis 2019,The Effect of Recreation in a Snow-Covered Forest Environment on the Psychological Wellbeing of Young Adults: Randomized Controlled Study,Poland,Olsztyn,Mental distress; Mood; Restorative effects/Restorativeness,ROS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring,32,0,Female > 60%,20.97,Young adults,Unclear,Unclear,Low risk of bias,High risk of bias,Low risk of bias,Unclear,High risk of bias
7049,Takayama 2019,"Relation between Psychological Restorativeness and Lifestyle, Quality of Life, Resilience, and Stress-Coping in Forest Settings",Japan,NA,"Mental distress; Affect; Anxiety; Depression; Restorative effects/Restorativeness; Other: Subjective Vitality, anger-hostility, vigor, fatigue, confusion",ROS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,RCT - crossover,Summer; Fall,46,100,Male > 60%,21.4,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
240,Song 2015,Physiological and Psychological Effects of a Walk in Urban Parks in Fall,Japan,Kashiwa City,Anxiety; Depression; Mood,STAI,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,23,100,Male > 60%,22.3,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,High risk of bias
261,Song 2014,Physiological and psychological responses of young males during spring-time walks in urban parks,Japan,Kashiwa City,"Anxiety; Depression; Mood; Other: vigor, fatigue, confusion, anger-hostility",STAI,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring,17,100,Male > 60%,21.2,Young adults,Unclear,Unclear,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
608,Xiang 2022,"Verification of Psychophysiological Effects of Satoyama Activities on Older Adult Volunteers and Young People in Post-COVID-19 Society: A Case Study of Matsudo City, Japan",Japan,Matsudo,"Anxiety; Depression; Mood; Other: anger-hostility, vigor-activity",STAI,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Non-randomised experimental study,Spring,24,54.15,Gender Balance,48.7,Adults,High risk of bias,Unclear,Unclear,Unclear,Low risk of bias,Unclear,Unclear
615,Song 2013,Physiological and psychological effects of walking on young males in urban parks in winter,Japan,Chiba,"Anxiety; Depression; Mood; Other: anger-hostility, vigor, fatigue, confusion",STAI,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,13,100,Male > 60%,22.5,Young adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,Low risk of bias
1932,Flowers 2022,People with the least positive attitudes to green exercise derive most anxiolytic benefit from walking in green space,Australia,"Melbourne, Victoria",Anxiety,STAI,Greenspace,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Summer,22,50,Gender Balance,24.4,Young adults,Unclear,Unclear,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
3115,Bratman 2015,The benefits of nature experience: Improved affect and cognition,United States,"Stanford, California",Affect; Cognitive functioning,STAI,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,NA,60,47,Gender Balance,24.1,Young adults,Unclear,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
3869,Pratiwi 2019,Physiological and Psychological Effects of Viewing Urban Parks in Different Seasons in Adults,Japan,Matsudo,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",STAI,Greenspace - Park,L4 - stay static in nature,In nature - Static,RCT - crossover,Spring; Summer,24,50,Gender Balance,66.4,Older adults,Unclear,Low risk of bias,Unclear,High risk of bias,Low risk of bias,Low risk of bias,High risk of bias
3869,Pratiwi 2019,Physiological and Psychological Effects of Viewing Urban Parks in Different Seasons in Adults,Japan,Chiba,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",STAI,Greenspace - Park,L4 - stay static in nature,In nature - Static,RCT - crossover,Spring; Summer,24,50,Gender Balance,66.4,Older adults,Unclear,Low risk of bias,Unclear,High risk of bias,Low risk of bias,Low risk of bias,High risk of bias
3878,Pratiwi 2020,"Physiological and Psychological Effects of Walking in Urban Parks and Its Imagery in Different Seasons in Middle-Aged and Older Adults: Evidence from Matsudo City, Japan",Japan,Matsudo,"Anxiety; Depression; Mood; Other: anger-hostility,  fatigue-inertia,  confusion-bewilderment, vigor-activity",STAI,Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Summer; Winter,12,33.3,Female > 60%,70.2,Older adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
5868,Muro 2022,Psychological benefits of Forest Bathing during the COVID-19 pandemic: a pilot study in a Mediterranean forest close to urban areas,Spain,Barcelona,Affect; Anxiety; Mood; Other: State Mindfulness,STAI,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Fall,16,12.5,Female > 60%,47.5,Adults,High risk of bias,High risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
5934,Hassan 2018,Effects of Walking in Bamboo Forest and City Environments on Brainwave Activity in Young Adults,China,Chengdu,Anxiety; Mood,STAI,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,RCT - crossover,NA,60,50,Gender Balance,19.6,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
5959,Yu 2017,Effects of Short Forest Bathing Program on Autonomic Nervous System Activity and Mood States in Middle-Aged and Elderly Individuals,Taiwan,Xitou Nature Education Area,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",STAI,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Non-randomised experimental study,Summer,128,33.6,Female > 60%,60,Adults,High risk of bias,High risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
6686,Song 2019,Physiological and Psychological Effects of Viewing Forests on Young Women,Japan,NA,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",STAI,Greenspace - Forest,L4 - stay static in nature,In nature - Static,RCT - crossover,Summer; Fall,72,0,Female > 60%,21,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
6787,Shin 2013,Differences of psychological effects between meditative and athletic walking in a forest and gymnasium,South Korea,Jeju City,Anxiety; Happiness; Self-esteem,STAI,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,140,0,Female > 60%,20.4,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
7199,Song 2018,Psychological Benefits of Walking through Forest Areas,Japan,Kashiwa,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",STAI,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,NA,585,100,Male > 60%,21.7,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
7390,Song 2019,Effects of Walking in a Forest on Young Women,Japan,NA,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",STAI,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,RCT - crossover,NA,60,0,Female > 60%,21,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
1910,Liu 2021,Physiological and Psychological Effects of Nature Experiences in Different Forests on Young People,China,Beijing,"Mental wellbeing in general*; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: vitality, anger–hostility, fatigue, confusion",SVS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer,30,NA,NA,25,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,High risk of bias,High risk of bias
1910,Liu 2021,Physiological and Psychological Effects of Nature Experiences in Different Forests on Young People,China,Beijing,"Mental wellbeing in general*; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: vitality, anger–hostility, fatigue, confusion",SVS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer,30,NA,NA,25,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,High risk of bias,High risk of bias
1951,Tyrvainen 2014,The influence of urban green environments on stress relief measures: A field experiment,Finland,Helsinki,"Mood; Restorative effects/Restorativeness; Other: Vitality, Creativity",SVS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring; Summer; Fall,77,7.8,Female > 60%,47.64,Adults,Unclear,Unclear,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear
1951,Tyrvainen 2014,The influence of urban green environments on stress relief measures: A field experiment,Finland,Helsinki,"Mood; Restorative effects/Restorativeness; Other: Vitality, Creativity",SVS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Summer; Fall,77,7.8,Female > 60%,47.64,Adults,Unclear,Unclear,Unclear,Low risk of bias,High risk of bias,Unclear,Unclear
2547,Elsadek 2019,The influence of urban roadside trees and their physical environment on stress relief measures: A field experiment in Shanghai,China,Shanghai,Anxiety; Mood; Restorative effects/Restorativeness; Other: subjective vitality,SVS,Greenspace - Street trees,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring,364,54.95,Gender Balance,23,Young adults,Unclear,Low risk of bias,Unclear,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2648,Liu 2021,The Relationship between the Restorative Perception of the Environment and the Physiological and Psychological Effects of Different Types of Forests on University Students,China,Beijing,Mental wellbeing in general*; Restorative effects/Restorativeness; Other: Vitality,SVS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer,30,47,Gender Balance,23.9,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2648,Liu 2021,The Relationship between the Restorative Perception of the Environment and the Physiological and Psychological Effects of Different Types of Forests on University Students,China,Beijing,Mental wellbeing in general*; Restorative effects/Restorativeness; Other: Vitality,SVS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer,30,47,Gender Balance,23.9,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Low risk of bias
2815,Ojala 2019,Restorative effects of urban green environments and the role of urban-nature orientedness and noise sensitivity: A field experiment,Finland,NA,Mental distress; Restorative effects/Restorativeness,SVS,Greenspace - Forest; Greenspace - Park,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring; Summer; Fall,83,0,Female > 60%,48.31,Adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,High risk of bias
2815,Ojala 2019,Restorative effects of urban green environments and the role of urban-nature orientedness and noise sensitivity: A field experiment,Finland,NA,Mental distress; Restorative effects/Restorativeness,SVS,Greenspace - Forest; Greenspace - Park,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Spring; Summer; Fall,83,0,Female > 60%,48.31,Adults,Unclear,Unclear,Unclear,Unclear,Low risk of bias,Low risk of bias,High risk of bias
3057,Janeczko 2020,When Urban Environment Is Restorative: The Effect of Walking in Suburbs and Forests on Psychological and Physiological Relaxation of Young Polish Adults,Poland,Warsaw,"Affect; Depression; Mood; Restorative effects/Restorativeness; Other: Vitality, Tension, Anger, Fatigue, Confusion, Vigor",SVS,Greenspace - Forest; Greenspace - Green alley/Roadside green,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Fall,75,NA,NA,21.5,Young adults,Unclear,Low risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
3220,Korcz 2021,Influence of Informal Education in the Forest Stand Redevelopment Area on the Psychological Restoration of Working Adults,Poland,Swidnik,"Affect; Mood; Restorative effects/Restorativeness; Other: vitality, confusion, fatigue, anger, anxiety, vigor",SVS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Non-randomised experimental study,Fall,60,51.7,Gender Balance,25,Young adults,High risk of bias,Unclear,High risk of bias,Unclear,Unclear,Unclear,High risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Yoshino,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,SVS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Akiota,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,SVS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Kamiichi,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,SVS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Oita,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,SVS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Yoshino,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,SVS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Akiota,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,SVS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Kamiichi,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,SVS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
3476,Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Oita,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,SVS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Randomised controlled trial - parallel,Summer; Fall,45,100,Male > 60%,21,Young adults,High risk of bias,Low risk of bias,Unclear,Unclear,Low risk of bias,Unclear,Low risk of bias
6274,Bielinis 2018,The effect of winter forest bathing on psychological relaxation of young Polish adults,Poland,Olsztyn,Affect; Mood; Restorative effects/Restorativeness; Other: vitality,SVS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring,62,58,Gender Balance,21.45,Young adults,Unclear,Unclear,High risk of bias,Unclear,Low risk of bias,Unclear,Unclear
6666,Bielinis 2019,The Effects of a Short Forest Recreation Program on Physiological and Psychological Relaxation in Young Polish Adults,Poland,Olsztyn,"Mental distress; Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: anger/hostility, vigor, fatigue, confusion, vitality",SVS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,Uncontrolled before-after study,Spring,21,57,Gender Balance,23.86,Young adults,High risk of bias,High risk of bias,High risk of bias,High risk of bias,Low risk of bias,Low risk of bias,Unclear
6750,Bielinis 2019,The Effect of Recreation in a Snow-Covered Forest Environment on the Psychological Wellbeing of Young Adults: Randomized Controlled Study,Poland,Olsztyn,Mental distress; Mood; Restorative effects/Restorativeness,SVS,Greenspace - Forest,L4 - stay static in nature,In nature - Static,Randomised controlled trial - parallel,Spring,32,0,Female > 60%,20.97,Young adults,Unclear,Unclear,Low risk of bias,High risk of bias,Low risk of bias,Unclear,High risk of bias
7049,Takayama 2019,"Relation between Psychological Restorativeness and Lifestyle, Quality of Life, Resilience, and Stress-Coping in Forest Settings",Japan,NA,"Mental distress; Affect; Anxiety; Depression; Restorative effects/Restorativeness; Other: Subjective Vitality, anger-hostility, vigor, fatigue, confusion",SVS,Greenspace - Forest,L4 - physical activity in nature,In nature - PA,RCT - crossover,Summer; Fall,46,100,Male > 60%,21.4,Young adults,Unclear,Low risk of bias,Unclear,Unclear,Low risk of bias,Low risk of bias,Unclear
